SalesID,CustomerID,ProductID,OrderDate,Quantity
S001,C001,P001,01-01-2023,2
S002,C002,P003,02-01-2023,5
S003,C003,P005,03-01-2023,1
S004,C004,P002,04-01-2023,1
S005,C005,P004,05-01-2023,3
S006,C006,P006,06-01-2023,10
S007,C007,P001,07-01-2023,4
S008,C008,P003,08-01-2023,7
S009,C009,P009,09-01-2023,2
S010,C010,P002,10-01-2023,1
S011,C011,P004,11-01-2023,3
S012,C012,P001,12-01-2023,5
S013,C013,P002,13-01-2023,1
S014,C014,P009,14-01-2023,2
S015,C015,P003,15-01-2023,6
S016,C001,P004,16-01-2023,3
S017,C002,P006,17-01-2023,9
S018,C003,P002,18-01-2023,1
S019,C004,P005,19-01-2023,1
S020,C005,P001,20-01-2023,2
S021,C006,P003,21-01-2023,4
S022,C007,P004,22-01-2023,3
S023,C008,P006,23-01-2023,8
S024,C009,P002,24-01-2023,1
S025,C010,P001,25-01-2023,3
S026,C011,P003,26-01-2023,7
S027,C012,P004,27-01-2023,2
S028,C013,P006,28-01-2023,9
S029,C014,P009,29-01-2023,2
S030,C015,P005,30-01-2023,1
S031,C001,P002,31-01-2023,1
S032,C002,P004,01-02-2023,3
S033,C003,P006,02-02-2023,8
S034,C004,P009,03-02-2023,2
S035,C005,P001,04-02-2023,4
S036,C006,P003,05-02-2023,6
S037,C007,P004,06-02-2023,3
S038,C008,P006,07-02-2023,7
S039,C009,P002,08-02-2023,1
S040,C010,P005,09-02-2023,1
S041,C011,P001,10-02-2023,3
S042,C012,P003,11-02-2023,7
S043,C013,P004,12-02-2023,3
S044,C014,P006,13-02-2023,10
S045,C015,P002,14-02-2023,1
S046,C001,P003,15-02-2023,6
S047,C002,P004,16-02-2023,3
S048,C003,P002,17-02-2023,1
S049,C004,P009,18-02-2023,2
S050,C005,P001,19-02-2023,4
